ROWID,HCS_POS_POSITION,HCS_POS_GRADE_SUB,POS_CAT_DESCR,POS_CAT,LOCATION,DESCR,DEPTID,Department, PAYGROUP ,POSITION_NBR, BUILDING ,HIRE_DT,TERMINATION_DT,YOS,BIRTHDATE,AGE,HCS_POS_TYPE,REASON_LEAVE,ACTION_REASON,GRADE,STEP,ANNUAL_RT,DAILY_RT,EMPL_STATUS
2650,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,4/25/2024,20,11/17/1969,55,1,Active,1,31,22,75741.6,398.64,1
2651,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/19/1997,6/30/2023,26,9/22/1963,61,1,Retire,3,29,27,74632,392.8,0
2652,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/16/2002,6/30/2005,3,1/3/1972,52,1,Unknown,4,29,9,36994.9,194.71,0
2653,TEACHER,NJROTC,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,246,1008,10,8/1/1997,6/30/2019,22,6/25/1952,72,1,Retire,3,32,19,82970.28,337.277561,0
2654,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,6/30/2009,5,8/8/1949,75,1,Retire,3,31,27,67351.2,354.48,0
2655,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/1992,6/30/2015,23,2/7/1950,74,1,Retire,3,32,27,70893.785,373.1251842,0
2656,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2001,4/25/2024,23,2/18/1943,81,1,Retire,3,28,31,77444,407.6,0
2657,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/1984,6/30/2016,32,8/3/1954,70,1,Retire,3,31,28,70773.147,372.4902474,0
2658,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2000,4/25/2024,24,4/29/1975,49,1,Active,1,28,6,51284.8,269.92,1
2659,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,6/30/2006,2,11/26/1961,63,1,Unknown,4,28,0,30280.3,159.37,0
2660,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2003,4/25/2024,21,1/1/1975,49,1,Active,1,31,23,77124.8,405.92,1
2661,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/23/1993,6/29/2012,19,12/15/1970,54,1,Unknown,4,35,18,64103.027,337.3843526,0
2662,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,7/28/2005,1,6/27/1979,45,1,Moving,12,28,1,30905.4,162.66,0
2663,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,11/28/1994,4/25/2024,30,1/20/1966,58,1,Active,1,31,29,86032,452.8,1
2664,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/16/1999,6/30/2008,9,8/2/1941,83,1,Retire,3,32,27,66265.203,348.7642263,0
2665,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/1997,6/30/2016,19,12/21/1963,61,1,Another Position in Education ,6,31,28,70773.147,372.4902474,0
2666,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/1991,6/30/2017,26,8/12/1956,68,1,Retire,3,32,28,18077.915,95.14692105,0
2667,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2000,8/21/2005,5,5/20/1974,50,1,Moving,12,28,5,33698.4,177.36,0
2668,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,2049,10,8/19/1996,4/25/2024,28,7/19/1971,53,1,Active,1,28,30,78508,413.2,1
2669,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2000,4/25/2024,24,5/25/1957,67,1,Active,1,28,32,81502.4,428.96,1
2670,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/18/2000,4/25/2024,24,12/22/1976,48,1,Active,1,31,22,75741.6,398.64,1
2671,TEACHER,ED,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1991,10,8/18/2003,3/1/2007,4,10/8/1958,66,1,Death,2,31,14,48527.9,255.41,0
2672,TEACHER,GIFTTALENT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1065,10,8/12/1996,6/29/2007,11,12/31/1944,80,1,Retire,3,32,14,48611.5,255.85,0
2673,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,3/3/2005,6/29/2007,2,2/25/1981,43,1,Moving,12,28,2,32583.099,171.4899947,0
2674,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1807,10,12/3/2001,6/30/2009,8,5/26/1976,48,1,Moving,12,32,7,46310.6,243.74,0
2675,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,4423,10,8/17/1998,3/31/2013,15,9/3/1953,71,1,Unknown,4,29,15,49715.514,261.6606,0
2676,TEACHER,GIFTTALENT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1065,10,8/18/2003,4/25/2024,21,4/30/1960,64,1,Active,1,31,25,79982.4,420.96,1
2677,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/16/1999,6/30/2014,15,9/1/1952,72,1,Retire,3,31,27,69385.439,365.1865211,0
2678,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/17/1998,6/6/2001,3,5/26/1973,51,1,Unknown,4,28,4,31773.7,167.23,0
2679,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2003,4/25/2024,21,10/2/1958,66,1,Active,1,31,23,77124.8,405.92,1
2680,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/17/1998,8/17/2006,8,10/27/1974,50,1,Unknown,4,28,8,37426.2,196.98,0
2681,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,4/25/2024,20,7/29/1981,43,1,Active,1,31,19,71759.2,377.68,1
2682,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/20/2004,8/16/2009,5,11/29/1968,56,1,Family Reasons ,7,28,5,37838.5,199.15,0
2683,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2003,4/25/2024,21,6/20/1980,44,1,Active,1,32,20,77869.6,409.84,1
2684,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1946,10,8/20/2004,6/30/2008,4,6/4/1963,61,1,Leaving Profession,5,28,7,37163.396,195.5968211,0
2685,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/12/1998,4/25/2024,26,1/15/1962,62,1,Active,1,32,32,97112.8,511.12,1
2686,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/12/1996,4/25/2024,28,2/6/1973,51,1,Active,1,31,27,82946.4,436.56,1
2687,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/19/1997,4/25/2024,27,8/24/1973,51,1,Active,1,32,27,88479.2,465.68,1
2688,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/17/1998,4/25/2024,26,10/28/1963,61,1,Active,1,31,25,79982.4,420.96,1
2689,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/12/1989,4/25/2024,35,11/23/1963,61,1,Active,1,32,32,97112.8,511.12,1
2690,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2001,4/25/2024,23,1/17/1957,67,1,Active,1,31,32,91002.4,478.96,1
2691,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/9/2000,7/30/2012,12,10/29/1975,49,1,Family Reasons ,7,31,11,49552.999,260.8052579,0
2692,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/12/1980,6/30/2006,26,2/15/1944,80,1,Retire,3,31,27,14827.6,78.04,0
2693,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/16/2002,4/25/2024,22,6/13/1980,44,1,Active,1,31,18,70467.2,370.88,1
2694,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2003,1/31/2005,2,2/18/1965,59,1,Unknown,4,29,9,36994.9,194.71,0
2695,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/23/1989,6/30/2014,25,8/9/1951,73,1,Retire,3,31,27,69385.439,365.1865211,0
2696,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,5/10/2005,4/25/2024,19,7/10/1972,52,1,Active,1,31,16,67989.6,357.84,1
2697,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,4/25/2024,19,4/2/1966,58,1,Active,1,32,22,80742.4,424.96,1
2698,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/4/2004,8/21/2005,1,5/5/1979,45,1,Unknown,4,31,0,34802.3,183.17,0
2699,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,4/25/2024,19,6/16/1967,57,1,Active,1,31,24,78538.4,413.36,1
2700,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,6/30/2011,6,10/7/1980,44,1,Moving,12,28,5,37095.6,195.24,0
2701,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,6/30/2016,11,1/15/1976,48,1,Leaving Profession,5,31,15,54710.71,287.9511053,0
2702,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1948,10,8/22/2005,4/25/2024,19,10/23/1961,63,1,Active,1,31,25,79982.4,420.96,1
2703,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,6/30/2015,10,7/4/1958,66,1,Retire,3,31,27,69385.439,365.1865211,0
2704,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/22/2005,4/25/2024,19,12/25/1980,44,1,Active,1,29,18,65603.2,345.28,1
2705,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,10/19/2005,4/25/2024,19,10/10/1968,56,1,Active,1,31,15,66788.8,351.52,1
2706,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,11/1/2005,4/25/2024,19,3/30/1984,40,1,Active,1,31,15,66788.8,351.52,1
2707,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,11/22/2005,6/30/2021,16,10/7/1983,41,1,Another Position in Education ,6,31,13,56340.305,296.5279211,0
2708,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1807,10,1/25/2006,6/30/2017,11,5/23/1982,42,1,Moving,12,32,10,51643.9,271.81,0
2709,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/25/2006,6/29/2012,6,9/28/1982,42,1,Moving,12,31,5,43998.838,231.5728316,0
2710,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,4/1/2006,11/8/2020,14,4/5/1975,49,1,Moving,12,31,13,56340.305,296.5279211,0
2711,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,5/3/2006,4/25/2024,18,3/29/1965,59,1,Active,1,31,17,69220.8,364.32,1
2712,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/30/2014,8,2/2/1965,59,1,Another Position in Education ,6,28,22,54581.057,287.2687211,0
2713,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,4/25/2024,18,7/5/1972,52,1,Active,1,32,27,88479.2,465.68,1
2714,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/30/2010,4,7/17/1975,49,1,Moving,12,31,13,50047.9,263.41,0
2715,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/29/2007,1,5/8/1981,43,1,Moving,12,31,0,36778.3,193.57,0
2716,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,4/25/2024,18,10/29/1983,41,1,Active,1,31,17,69220.8,364.32,1
2717,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/30/2009,3,2/5/1983,41,1,Moving,12,31,3,41057.1,216.09,0
2718,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1947,10,8/18/2006,8/17/2006,0,5/18/1962,62,1,Declined Position ,9,28,3,33897.9,178.41,0
2719,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/29/2007,1,3/25/1969,55,1,Cert Issues,13,28,1,31942.8,168.12,0
2720,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,4/25/2024,18,12/20/1978,46,1,Active,1,31,17,69220.8,364.32,1
2721,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2006,6/30/2009,3,2/26/1952,72,1,Retire,3,31,27,67351.2,354.48,0
2722,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,10/9/2006,5/15/2007,1,12/21/1947,77,1,Dismissal,11,31,19,53578.1,281.99,0
2723,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/28/2006,4/25/2024,18,8/13/1984,40,1,Active,1,31,15,66788.8,351.52,1
2724,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,6/1/2007,6/29/2012,5,9/21/1974,50,1,Moving,12,32,10,49638.692,261.2562737,0
2725,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1947,10,6/1/2007,6/30/2013,6,7/23/1951,73,1,Retire,3,32,26,69505.402,365.8179053,0
2726,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,4/13/2007,4/25/2024,17,6/9/1984,40,1,Active,1,31,16,67989.6,357.84,1
2727,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,6/1/2007,6/30/2017,10,12/4/1969,55,1,Another Position in Education ,6,32,19,61719.6,324.84,0
2728,TEACHER,TMD/PMD,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1826,10,6/15/2007,4/25/2024,17,12/11/1984,40,1,Active,1,32,16,72428,381.2,1
2729,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,6/28/2007,12/2/2007,0,11/1/1970,54,1,Family Reasons ,7,31,13,49150.766,258.6882421,0
2730,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/21/2007,4/25/2024,17,3/20/1976,48,1,Active,1,32,23,82232,432.8,1
2731,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/21/2007,4/25/2024,17,8/9/1972,52,1,Active,1,28,19,64417.6,339.04,1
2732,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/21/2007,4/25/2024,17,10/2/1984,40,1,Active,1,31,16,67989.6,357.84,1
2733,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/21/2007,5/26/2008,1,6/14/1974,50,1,Unknown,4,28,0,33000.106,173.6847684,0
2734,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1946,10,8/17/2007,6/30/2013,6,3/1/1978,46,1,Another Position in Education ,6,31,10,49552.141,260.8007421,0
2735,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/24/2007,4/25/2024,17,9/4/1983,41,1,Active,1,31,16,67989.6,357.84,1
2736,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/25/2007,1/31/2014,7,4/1/1979,45,1,Moving,12,31,6,45779.243,240.9433842,0
2737,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,2/5/2010,8/19/2018,8,3/23/1984,40,1,Moving,12,32,8,50133.876,263.8625053,0
2738,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/18/2007,4/25/2024,17,7/2/1985,39,1,Active,1,28,10,54963.2,289.28,1
2739,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/22/2008,12/22/2020,12,10/30/1984,40,1,Another Position in Education ,6,31,11,54152.952,285.0155368,0
2740,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2008,6/30/2011,3,5/31/1983,41,1,Another Position in Education ,6,28,2,34958.1,183.99,0
2741,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,3182,10,8/18/2008,4/25/2024,16,9/12/1970,54,1,Active,1,32,16,72428,381.2,1
2742,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/18/2008,9/13/2012,4,5/29/1985,39,1,Moving,12,28,4,38215.422,201.1338,0
2743,TEACHER,TMD/PMD,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1826,10,5/27/2008,6/30/2011,3,6/29/1985,39,1,Moving,12,28,2,34958.1,183.99,0
2744,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,7/21/2008,6/29/2012,4,7/19/1986,38,1,Another Position in Education ,6,31,3,42292.931,222.5943737,0
2745,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,7/21/2008,6/30/2013,5,6/15/1982,42,1,Unknown,4,29,5,40784.822,214.6569579,0
2746,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,7/29/2008,4/25/2024,16,1/26/1971,53,1,Active,1,35,28,96124.8,505.92,1
2747,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,3615,10,8/18/2008,1/15/2010,2,6/30/1986,38,1,Moving,12,28,1,34952.4,183.96,0
2748,TEACHER,TMD/PMD,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1826,10,9/3/2008,3/31/2019,11,8/22/1952,72,1,Retire,3,31,20,62227.414,327.5127053,0
2749,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/10/2008,7/17/2012,4,7/24/1984,40,1,Moving,12,31,2,41463.893,218.2310158,0
2750,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,7/16/2008,4/25/2024,16,6/24/1966,58,1,Active,1,31,25,79982.4,420.96,1
2751,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,5/1/2009,4/25/2024,15,8/24/1983,41,1,Active,1,31,11,62198.4,327.36,1
2752,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,5/1/2009,1/31/2018,9,6/28/1968,56,1,Death,2,31,7,47627.3,250.67,0
2753,TEACHER,AG,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,246,1020,10,8/17/2009,9/7/2009,0,5/19/1982,42,1,Family Reasons ,7,28,0,44375.94,180.39,0
2754,TEACHER,AG,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,246,1020,10,7/1/2009,6/30/2011,2,6/19/1986,38,1,Moving,12,31,2,52110.18,211.83,0
2755,TEACHER,ED,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1991,10,8/17/2009,8/6/2020,11,3/11/1963,61,1,Family Reasons ,7,32,9,53183.012,279.9105895,0
2756,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/17/2009,6/29/2012,3,9/1/1984,40,1,Unknown,4,31,2,41463.893,218.2310158,0
2757,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/17/2009,6/30/2012,3,9/8/1980,44,1,Moving,12,31,2,41463.893,218.2310158,0
2758,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/8/2009,4/25/2024,15,8/31/1982,42,1,Active,1,31,13,64448,339.2,1
2759,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/22/2010,6/30/2010,0,12/14/1977,47,1,Temporary Agreements ,8,28,0,34274.1,180.39,0
2760,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/14/2009,4/25/2024,15,6/12/1987,37,1,Active,1,32,12,67412,354.8,1
2761,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,10/7/2009,6/30/2013,4,2/15/1968,56,1,Dismissal,11,31,0,40650.907,213.9521421,0
2762,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1948,10,11/18/2009,6/30/2022,13,2/26/1987,37,1,Unknown,4,32,9,57380,302,0
2763,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,2/3/2010,4/25/2024,14,4/16/1976,48,1,Active,1,32,12,67412,354.8,1
2764,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,5/3/2010,6/30/2013,3,6/17/1986,38,1,Moving,12,31,1,41463.898,218.2310421,0
2765,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,4/26/2011,6/30/2016,5,4/10/1984,40,1,Another Position in Education ,6,31,4,44000.74,231.5828421,0
2766,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1807,10,8/15/2011,6/30/2013,2,5/10/1984,40,1,Moving,12,31,1,41463.898,218.2310421,0
2767,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/15/2011,4/25/2024,13,10/27/1987,37,1,Active,1,32,9,63900.8,336.32,1
2768,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/13/2011,6/30/2019,8,10/10/1985,39,1,Another Position in Education ,6,31,4,45328.7,238.5721053,0
2769,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/19/2012,6/30/2017,5,11/9/1957,67,1,Moving,12,32,23,66804,351.6,0
2770,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,1/30/2012,6/30/2013,1,3/30/1983,41,1,Unknown,4,28,0,35305.321,185.8174789,0
2771,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,2/10/2012,6/29/2012,0,9/6/1955,69,1,Temporary Agreements ,8,31,27,68025.018,358.0264105,0
2772,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,3/13/2012,6/30/2014,2,3/18/1966,58,1,Temporary Agreements ,8,32,0,41533.666,218.5982421,0
2773,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,4/23/2012,4/25/2024,12,7/16/1989,35,1,Active,1,31,11,62198.4,327.36,1
2774,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,2081,10,8/14/2012,4/25/2024,12,2/12/1972,52,1,Active,1,31,22,75741.6,398.64,1
2775,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,7/24/2012,8/19/2018,6,2/26/1984,40,1,Moving,12,32,4,46316.984,243.7736,0
2776,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2012,4/25/2024,12,3/7/1982,42,1,Active,1,35,12,71789.6,377.84,1
2777,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2012,8/5/2018,6,5/25/1981,43,1,Declined Position ,9,31,1,42294,222.6,0
2778,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2012,6/30/2022,10,8/30/1983,41,1,Leaving Profession,5,31,15,60268,317.2,0
2779,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2012,4/25/2024,12,11/8/1971,53,1,Active,1,32,18,75103.2,395.28,1
2780,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2012,6/30/2013,1,12/14/1984,40,1,Moving,12,29,5,40784.822,214.6569579,0
2781,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/28/2012,10/31/2012,0,12/16/1984,40,1,Family Reasons ,7,31,4,44000.74,231.5828421,0
2782,TEACHER,RESOURCE,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,4423,10,9/25/2012,4/25/2024,12,10/18/1966,58,1,Active,1,28,11,55936,294.4,1
2783,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,9/25/2012,4/25/2024,12,12/15/1988,36,1,Active,1,31,9,60040,316,1
2784,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,4/23/2013,4/25/2024,11,7/8/1990,34,1,Active,1,32,10,65056,342.4,1
2785,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/6/2013,9/20/2013,0,9/16/1982,42,1,Unknown,4,31,6,44878.848,236.2044632,0
2786,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/6/2013,4/25/2024,11,9/2/1988,36,1,Active,1,31,10,61104,321.6,1
2787,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/6/2013,12/10/2013,0,7/10/1963,61,1,Unknown,4,28,8,41366.222,217.7169579,0
2788,TEACHER,HIGH,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,385,10,8/14/2013,4/25/2024,11,5/11/1982,42,1,Active,1,31,10,61104,321.6,1
2789,TEACHER,CROSSCAT,Teachers,1,52,Carolina Forest High,52,Carolina Forest High,190,1946,10,8/14/2013,6/30/2018,5,11/15/1988,36,1,Another Position in Education ,6,31,5,45776.7,240.93,0
